DATE,Time,PV/kwh,dhi,dni,ghi
2024/1/1,0:00:00,0,0,0,0
2024/1/1,1:00:00,0,0,0,0
2024/1/1,2:00:00,0,0,0,0
2024/1/1,3:00:00,0,0,0,0
2024/1/1,4:00:00,0,0,0,0
2024/1/1,5:00:00,0,0,0,0
2024/1/1,6:00:00,0,0,0,0
2024/1/1,7:00:00,0.26,0,0,0
2024/1/1,8:00:00,20.16,41,214,74
2024/1/1,9:00:00,74.02,85,576,254
2024/1/1,10:00:00,129.46,105,740,424
2024/1/1,11:00:00,171.29,114,821,548
2024/1/1,12:00:00,192.62,118,850,610
2024/1/1,13:00:00,175.01,121,840,604
2024/1/1,14:00:00,148.43,119,795,531
2024/1/1,15:00:00,121.66,127,622,386
2024/1/1,16:00:00,56.8,79,555,229
2024/1/1,17:00:00,12.63,30,169,54
2024/1/1,18:00:00,0.36,0,0,0
2024/1/1,19:00:00,0,0,0,0
2024/1/1,20:00:00,0,0,0,0
2024/1/1,21:00:00,0,0,0,0
2024/1/1,22:00:00,0,0,0,0
2024/1/1,23:00:00,0,0,0,0
2024/1/2,0:00:00,0,0,0,0
2024/1/2,1:00:00,0,0,0,0
2024/1/2,2:00:00,0,0,0,0
2024/1/2,3:00:00,0,0,0,0
2024/1/2,4:00:00,0,0,0,0
2024/1/2,5:00:00,0,0,0,0
2024/1/2,6:00:00,0,0,0,0
2024/1/2,7:00:00,0.51,0,0,0
2024/1/2,8:00:00,19.17,39,241,75
2024/1/2,9:00:00,79.72,80,600,255
2024/1/2,10:00:00,138.8,99,753,423
2024/1/2,11:00:00,176.1,122,788,539
2024/1/2,12:00:00,190.32,192,639,562
2024/1/2,13:00:00,166.84,204,595,547
2024/1/2,14:00:00,146.44,195,529,470
2024/1/2,15:00:00,109.81,172,370,327
2024/1/2,16:00:00,51.58,124,12,128
2024/1/2,17:00:00,10.38,26,15,29
2024/1/2,18:00:00,0.08,0,0,0
2024/1/2,19:00:00,0,0,0,0
2024/1/2,20:00:00,0,0,0,0
2024/1/2,21:00:00,0,0,0,0
2024/1/2,22:00:00,0,0,0,0
2024/1/2,23:00:00,0,0,0,0
2024/1/3,0:00:00,0,0,0,0
2024/1/3,1:00:00,0,0,0,0
2024/1/3,2:00:00,0,0,0,0
2024/1/3,3:00:00,0,0,0,0
2024/1/3,4:00:00,0,0,0,0
2024/1/3,5:00:00,0,0,0,0
2024/1/3,6:00:00,0,0,0,0
2024/1/3,7:00:00,0,0,0,0
2024/1/3,8:00:00,10.03,28,0,28
2024/1/3,9:00:00,39.39,139,4,140
2024/1/3,10:00:00,94.35,239,133,297
2024/1/3,11:00:00,106.54,277,268,421
2024/1/3,12:00:00,152.4,246,475,521
2024/1/3,13:00:00,169.4,239,496,525
2024/1/3,14:00:00,149.35,213,485,466
2024/1/3,15:00:00,105.3,172,418,347
2024/1/3,16:00:00,51.76,112,285,191
2024/1/3,17:00:00,12.3,35,65,44
2024/1/3,18:00:00,0.12,0,0,0
2024/1/3,19:00:00,0,0,0,0
2024/1/3,20:00:00,0,0,0,0
2024/1/3,21:00:00,0,0,0,0
2024/1/3,22:00:00,0,0,0,0
2024/1/3,23:00:00,0,0,0,0
2024/1/4,0:00:00,0,0,0,0
2024/1/4,1:00:00,0,0,0,0
2024/1/4,2:00:00,0,0,0,0
2024/1/4,3:00:00,0,0,0,0
2024/1/4,4:00:00,0,0,0,0
2024/1/4,5:00:00,0,0,0,0
2024/1/4,6:00:00,0,0,0,0
2024/1/4,7:00:00,0.19,0,0,0
2024/1/4,8:00:00,16.17,44,139,65
2024/1/4,9:00:00,61.77,131,296,216
2024/1/4,10:00:00,131.33,149,586,403
2024/1/4,11:00:00,136.18,169,678,529
2024/1/4,12:00:00,189.15,212,611,567
2024/1/4,13:00:00,181.95,202,636,570
2024/1/4,14:00:00,160.34,181,617,504
2024/1/4,15:00:00,121.53,158,500,369
2024/1/4,16:00:00,65.62,107,353,205
2024/1/4,17:00:00,15.29,36,101,50
2024/1/4,18:00:00,0.26,0,0,0
2024/1/4,19:00:00,0,0,0,0
2024/1/4,20:00:00,0,0,0,0
2024/1/4,21:00:00,0,0,0,0
2024/1/4,22:00:00,0,0,0,0
2024/1/4,23:00:00,0,0,0,0
2024/1/5,0:00:00,0,0,0,0
2024/1/5,1:00:00,0,0,0,0
2024/1/5,2:00:00,0,0,0,0
2024/1/5,3:00:00,0,0,0,0
2024/1/5,4:00:00,0,0,0,0
2024/1/5,5:00:00,0,0,0,0
2024/1/5,6:00:00,0,0,0,0
2024/1/5,7:00:00,0.11,0,0,0
2024/1/5,8:00:00,14.84,40,7,41
2024/1/5,9:00:00,40.64,115,0,115
2024/1/5,10:00:00,89.84,194,282,323
2024/1/5,11:00:00,115.03,260,204,365
2024/1/5,12:00:00,125.32,162,0,162
2024/1/5,13:00:00,119.38,283,138,362
2024/1/5,14:00:00,154.73,238,362,427
2024/1/5,15:00:00,106.4,172,386,336
2024/1/5,16:00:00,35.23,115,197,174
2024/1/5,17:00:00,7.69,24,2,25
2024/1/5,18:00:00,0.21,0,0,0
2024/1/5,19:00:00,0,0,0,0
2024/1/5,20:00:00,0,0,0,0
2024/1/5,21:00:00,0,0,0,0
2024/1/5,22:00:00,0,0,0,0
2024/1/5,23:00:00,0,0,0,0
2024/1/6,0:00:00,0,0,0,0
2024/1/6,1:00:00,0,0,0,0
2024/1/6,2:00:00,0,0,0,0
2024/1/6,3:00:00,0,0,0,0
2024/1/6,4:00:00,0,0,0,0
2024/1/6,5:00:00,0,0,0,0
2024/1/6,6:00:00,0,0,0,0
2024/1/6,7:00:00,0.14,0,0,0
2024/1/6,8:00:00,14.06,37,5,37
2024/1/6,9:00:00,26.86,131,16,135
2024/1/6,10:00:00,65.6,223,25,235
2024/1/6,11:00:00,141.92,211,480,467
2024/1/6,12:00:00,165.91,229,510,527
2024/1/6,13:00:00,157.68,232,497,522
2024/1/6,14:00:00,132.69,219,433,448
2024/1/6,15:00:00,97.82,190,266,305
2024/1/6,16:00:00,49.06,130,84,152
2024/1/6,17:00:00,12.8,36,31,40
2024/1/6,18:00:00,0.16,0,0,0
2024/1/6,19:00:00,0,0,0,0
2024/1/6,20:00:00,0,0,0,0
2024/1/6,21:00:00,0,0,0,0
2024/1/6,22:00:00,0,0,0,0
2024/1/6,23:00:00,0,0,0,0
2024/1/7,0:00:00,0,0,0,0
2024/1/7,1:00:00,0,0,0,0
2024/1/7,2:00:00,0,0,0,0
2024/1/7,3:00:00,0,0,0,0
2024/1/7,4:00:00,0,0,0,0
2024/1/7,5:00:00,0,0,0,0
2024/1/7,6:00:00,0,0,0,0
2024/1/7,7:00:00,0.16,0,0,0
2024/1/7,8:00:00,16.45,43,136,63
2024/1/7,9:00:00,66.7,103,435,231
2024/1/7,10:00:00,118.25,129,648,409
2024/1/7,11:00:00,155.26,152,713,531
2024/1/7,12:00:00,182.73,168,726,593
2024/1/7,13:00:00,188.28,162,742,595
2024/1/7,14:00:00,163.1,150,714,529
2024/1/7,15:00:00,126.49,149,551,385
2024/1/7,16:00:00,61.2,103,414,221
2024/1/7,17:00:00,15.22,38,132,58
2024/1/7,18:00:00,0.16,0,0,0
2024/1/7,19:00:00,0,0,0,0
2024/1/7,20:00:00,0,0,0,0
2024/1/7,21:00:00,0,0,0,0
2024/1/7,22:00:00,0,0,0,0
2024/1/7,23:00:00,0,0,0,0
2024/1/8,0:00:00,0,0,0,0
2024/1/8,1:00:00,0,0,0,0
2024/1/8,2:00:00,0,0,0,0
2024/1/8,3:00:00,0,0,0,0
2024/1/8,4:00:00,0,0,0,0
2024/1/8,5:00:00,0,0,0,0
2024/1/8,6:00:00,0,0,0,0
2024/1/8,7:00:00,0.11,0,0,0
2024/1/8,8:00:00,13.01,43,41,48
2024/1/8,9:00:00,43.74,138,65,160
2024/1/8,10:00:00,61.41,228,0,228
2024/1/8,11:00:00,101.1,303,152,384
2024/1/8,12:00:00,134.8,247,217,372
2024/1/8,13:00:00,69.29,187,0,187
2024/1/8,14:00:00,87.74,208,1,209
2024/1/8,15:00:00,50.45,144,0,144
2024/1/8,16:00:00,12.19,46,0,46
2024/1/8,17:00:00,3.2,15,0,15
2024/1/8,18:00:00,0.13,0,0,0
2024/1/8,19:00:00,0,0,0,0
2024/1/8,20:00:00,0,0,0,0
2024/1/8,21:00:00,0,0,0,0
2024/1/8,22:00:00,0,0,0,0
2024/1/8,23:00:00,0,0,0,0
2024/1/9,0:00:00,0,0,0,0
2024/1/9,1:00:00,0,0,0,0
2024/1/9,2:00:00,0,0,0,0
2024/1/9,3:00:00,0,0,0,0
2024/1/9,4:00:00,0,0,0,0
2024/1/9,5:00:00,0,0,0,0
2024/1/9,6:00:00,0,0,0,0
2024/1/9,7:00:00,0.13,0,0,0
2024/1/9,8:00:00,12.98,42,15,44
2024/1/9,9:00:00,67.6,135,92,165
2024/1/9,10:00:00,115.84,186,322,327
2024/1/9,11:00:00,148.65,226,410,446
2024/1/9,12:00:00,58.75,242,461,514
2024/1/9,13:00:00,0,237,480,519
2024/1/9,14:00:00,0.1,216,450,457
2024/1/9,15:00:00,0,199,250,312
2024/1/9,16:00:00,0,128,150,169
2024/1/9,17:00:00,0,39,40,45
2024/1/9,18:00:00,0,0,0,0
2024/1/9,19:00:00,0,0,0,0
2024/1/9,20:00:00,0,0,0,0
2024/1/9,21:00:00,0,0,0,0
2024/1/9,22:00:00,0,0,0,0
2024/1/9,23:00:00,0,0,0,0
2024/1/10,0:00:00,0,0,0,0
2024/1/10,1:00:00,0,0,0,0
2024/1/10,2:00:00,0,0,0,0
2024/1/10,3:00:00,0,0,0,0
2024/1/10,4:00:00,0,0,0,0
2024/1/10,5:00:00,0,0,0,0
2024/1/10,6:00:00,0,0,0,0
